HOUSE_TYPE,PRICE
restaurant / bar,29000000.0
flats,15000000.0
WAREHOUSE COMMERCIAL PROPERTY,13000000.0
commercial property,10000000.0
hotel / guest house,8400000.0
MASSIONETTE,8000000.0
shop,7000000.0
detached duplex,7000000.0
TOWNHOUSE,6000000.0
FACTORY,6000000.0
office space,5000000.0
semi-detached duplex,5000000.0
terraced duplex,4500000.0
house,4000000.0
LAND,4000000.0
DETACHED DUPLEX,3500000.0
TERRACED DUPLEX,3500000.0
HOUSE,3500000.0
COMMERCIAL PROPERTY,3000000.0
apartment,3000000.0
SHOW ROOM,2850000.0
WAREHOUSE,2600000.0
SCHOOL COMMERCIAL PROPERTY,2500000.0
detached bungalow,2500000.0
semi-detached bungalow,2000000.0
OFFICE,2000000.0
OPEN SPACE,1750000.0
HOTEL/GUEST,1600000.0
PENTHOUSE,1600000.0
CO WORKING SPACE,1400000.0
TERRACED BUNGALOW,1300000.0
DETACHED BUNGALOW,1100000.0
FLAT / APARTMENT,1000000.0
mini flat,1000000.0
STUDIO APARTMENT FLAT,900000.0
BLOCKS OF FLATS,900000.0
BOYS QUARTERS,800000.0
SHOP,800000.0
CHURCH,700000.0
APARTMENT,700000.0
PRIVATE OFFICE,550000.0
EVENT CENTRE,550000.0
MINI FLAT,500000.0
WORKSTATION,450000.0
BUNGALOW,400000.0
SELF CONTAIN,400000.0
terraced bungalow,400000.0
PLAZA/MALL,150000.0
